,Florida,California,Texas,Pennsylvania,Virginia,New York,the District of Columbia,Arizona,Colorado,Massachusetts,Washington,Illinois,New Jersey,Michigan,Utah,Hawaii,Tennessee,Nevada,Connecticut,Mississippi,Oregon,Minnesota,Georgia,West Virginia,South Carolina,Maine,Maryland,North Carolina,Wyoming,Iowa,New Hampshire,Ohio,Idaho,Alabama,Montana,Nebraska,North Dakota,Indiana,Missouri,Louisiana,Alaska,Vermont,Rhode Island,Arkansas,Delaware,Kansas,Wisconsin,New Mexico,Oklahoma,Kentucky,South Dakota
2000-01-01,108211.25470442354,189126.96598747425,113201.9998743281,100412.65501800095,125062.39647891602,155461.56397822496,163042.06687200416,136505.48896401227,178255.25497880558,198818.4215019586,176375.44579881075,130406.97223291056,172330.41209805987,118843.03147165477,170295.79546976901,195051.00092869307,113534.10490566259,155167.0069437639,164376.9170378685,90008.4304219466,152391.8024932565,126448.55377143023,127008.54621433854,73371.58462450253,115603.70797608464,109270.07603745598,152493.9056598189,129757.84883886909,,92061.0880186073,135209.247245725,106251.70533779087,125216.61688193247,100871.15706790905,,116930.83997102494,,98866.56356484893,98201.91735072526,110465.59924304226,136804.30870656393,119403.36431880872,132899.17483740323,90356.59731361567,148547.1268333489,89988.1488513036,123852.4489732048,,84164.57008472971,88619.0352575069,109508.2283557687
2000-02-01,108445.65035516587,189762.6781709995,113263.51676517297,100627.43008267025,125386.01195440226,156015.15985748364,163575.3422164751,136752.7405351008,178888.18970561173,199482.21007424948,176773.28517585224,130511.4812886756,172794.9544176695,118908.48737610484,170389.0976814481,194960.75836159245,113628.8160445214,155186.4032987841,165003.15035180363,89959.06696603101,152726.92825940257,126874.18425144159,127296.9606596292,73368.44392677746,115858.91439760622,109633.6195847205,152472.75513436995,129955.2586326291,,92237.01243555678,135668.57423874195,106316.63476810188,125140.70864524692,101046.81005828096,,117117.75875200186,,98730.62432158733,98317.01756416503,110678.67740479202,136959.68949954514,119603.30215228931,133503.5889131683,90477.35459885505,148778.23207114468,90005.8136949132,123816.50327129563,,84199.28818347945,88664.78883035248,109275.55954870096
2000-03-01,108729.78460641066,190621.0452865773,113293.35342097748,100829.26095099612,125729.12032412387,156548.08516713584,164332.0049403495,137070.95784856923,179587.64805832153,200272.01372936144,177179.1167608154,130737.38230185432,173238.20963018856,119148.12594976103,170535.58193923894,195260.12230472828,113725.411026315,155426.55984389863,165657.042020768,89956.91945939184,153033.08915098498,127270.18427113838,127629.74276269691,73392.15988363534,116066.86890257163,109958.21754767501,152580.80184218628,130158.58675648268,,92403.09245948466,136216.89997395815,106415.10369107728,125188.80324747076,101164.50097931149,,117290.99808425341,,98577.94273122751,98489.34126732753,110844.25704585928,137114.98902891134,119917.29757868328,134138.3231157685,90614.36390858838,149065.97889432742,90109.88498806418,123955.0606806847,,84361.12036472972,88748.0355836342,108949.95676851559
2000-04-01,109307.35645840177,192484.30435465832,113441.43538953851,101240.56159213856,126377.48103118618,157694.26263381037,165954.44551958048,137720.73926276565,181151.61178929146,201827.59389359024,177998.18865028536,131268.81145489277,174220.25570724648,119625.48504603778,170903.11347796497,195779.4202115518,113957.81092098013,155976.92112316136,166764.86328145003,90021.81077894144,153675.5475156879,128199.74572007456,128330.39516251876,73452.18637660191,116543.57408526678,110673.32554966868,152841.52174488537,130599.6413708506,,92761.82076714846,137040.01291079496,106704.65631055801,125288.6584173178,101428.16388142073,,117559.91809538956,,98113.80719957939,98883.23457479036,111217.54704171077,137297.11907868707,120534.28007400723,135392.45432448376,90906.90092517524,149724.0493599811,90265.46432809345,124154.04236608652,,84655.8082825078,88954.91138098719,108511.0791421602
2000-05-01,109930.20546080924,194650.06233792167,113537.33559461974,101663.07033536439,127003.40227509274,158880.14658964355,167755.05432111918,138457.2756858793,182897.26646015086,203511.4328126066,178892.15411765513,131899.36875698614,175221.37446856327,120329.4503950837,172235.0657956547,196796.68086359915,114225.89199769072,156678.2285074849,167675.19866501502,90337.58379217602,154248.4837001946,129219.49371201626,129103.18685200733,73569.29504485405,116988.65268009728,111346.96099634869,153387.11360079268,131091.00071971092,,93158.16015550478,137940.95720974368,107146.15205161419,125614.26813119708,101722.23700676912,,117696.2899835405,,97889.54697084667,99392.03056711372,111613.04399899022,137571.3015984531,121244.79673333676,136642.13959576306,91195.43320778086,150474.6080158423,90499.9862538048,124551.02655377176,,85051.61998388723,89229.85505627061,108328.49322502404
2000-06-01,110565.71211749913,196986.90891047975,113644.86307047385,102097.29502021661,127607.83994364913,160162.41509939535,169689.15319670402,139118.24379845482,184782.2954259111,205335.8411112106,179745.5618227215,132608.03472028932,176416.1995776403,121102.61597422027,173703.46493318793,197945.5187351817,114491.95055618684,157307.82944539006,168576.86430049155,90789.36737915447,154780.28494161527,130398.5155860306,129922.08593022525,73763.8392596175,117478.91464914144,112103.21508561354,154046.76576234793,131613.68661050164,,93558.20423909464,138892.71707003235,107693.95633883301,126012.21819111957,102077.78319829151,,117776.9911129021,,97955.7887068176,99954.28232256773,112043.86791331925,137776.26951897013,121908.21375732055,137594.3050384963,91472.44721526715,151302.6665866727,90764.52125225654,125016.95737374837,,85426.85796182527,89532.09928295441,108203.38362076109
2000-07-01,111204.24086691615,199454.78580370234,113715.5252590932,102558.41485449094,128341.5631201897,161315.16993751304,171525.33421347968,139790.38345860472,186692.3150819809,207494.79442138257,180672.7009293336,133376.68110382196,177768.25434934325,122004.61679559923,175175.50569764202,199094.40569845014,114779.74818652245,157795.80131786354,169584.6115874157,91206.60215665249,155223.07210288607,131695.4097479321,130749.5615422107,74019.49026735385,117954.66796806983,112916.46184364136,154827.4761804397,132124.09747153657,,93964.46435791322,140213.56120621695,108235.49076805922,126405.75766721612,102407.00539881951,,117870.46178210876,,98437.16478942458,100565.55475697767,112465.04805855463,138203.97229637182,122569.04442856507,138464.51925835267,91740.20060761413,152145.18184323958,91108.622642659,125633.97941081617,,85815.41910122843,89872.87153904431,108116.13789667618
2000-08-01,111854.54965788026,202031.3795978971,113924.57177928842,102998.6036649357,129206.79688262918,162324.21095122257,173104.77401030055,140436.02871790362,188765.72809976604,210151.61194990118,181529.3815494358,134470.75723684925,179411.19314260464,122915.11732426153,175781.83924361202,200423.79382265653,115076.78754349473,158265.93667668974,170803.77651280377,91603.98755221981,155696.01077039787,133471.59594668573,131624.25534244286,74353.90086085355,118478.39648201737,113762.50657188956,155551.97608673977,132605.4222553084,,94311.87628075249,141760.9540996465,108761.82570449519,126803.21934609879,102704.52358342397,,118094.15571604668,,98927.82094421488,101224.70023818851,112798.07357985474,138405.13718668255,123252.2562271731,139336.5005366715,92044.81098354707,152965.0142518396,91482.28605159868,126315.93220582372,,86177.13110523875,90262.70530884007,107955.8347320837
2000-09-01,112528.59934445347,204613.9527060129,114198.70542231626,103447.11480955766,130152.34297660983,163220.84079206976,174291.17367591237,141150.1081575224,190942.3215538429,213137.0399131179,182309.16758448887,135757.41008124562,181227.94936730058,123785.3689652283,176311.99425081848,201737.84417810725,115431.67889470747,158831.76218979148,172087.4422564707,91957.9854159119,156093.6911604297,135307.80947848267,132518.24174622685,74653.3417243281,119019.07505996701,114642.95044652873,156292.42873346672,133075.21520122056,,94674.26621135614,143423.36793730754,109278.98529550199,127135.9509441403,103023.66550928708,,118367.39870968422,,99311.23069333281,101888.37184444845,113177.35600176909,138588.64467321444,124007.56961927951,140410.88310587397,92389.33965252433,153721.7976962973,91832.29556627701,126999.05609582552,,86505.93368100973,90695.38677550638,108179.16013828186
2000-10-01,113216.69888532815,207063.06994269413,114492.44489032833,103877.25346828291,131046.98305297374,164181.91001959253,174593.43633181343,141838.13715839988,193104.2219585053,216290.70466035444,182988.1771147328,137242.4419597574,183065.02353861023,124598.14811490888,176759.79534820747,203113.44161131384,115775.38417058419,159467.8953687487,173492.21300521906,92449.14076041419,156493.15928228336,137187.0090606061,133447.3924836729,74998.70552974059,119551.2594168081,115475.34335086419,157073.8235358717,133571.8896163157,,95120.90220897221,145336.11164396664,109778.5693886227,127457.23535843845,103389.86556817894,,118654.31140267703,,99780.62292784174,102593.892451394,113626.5050300033,138529.81128555947,124916.51993107777,141487.76705655342,92735.45469847905,154397.6063937261,92190.13533250095,127667.93431553652,,86799.78328126368,91099.60808232478,108429.47125747072
2000-11-01,113931.74792375787,209474.98604100654,114831.40230838677,104351.78034402919,131951.24770328624,165359.28590102354,174891.61411230196,142500.71943298518,195184.68160559935,219337.67177329588,183675.1833036405,138375.7984141519,184703.8994070871,125438.9156583607,177314.92634977153,204007.00773083884,116151.62592154047,160204.5705606277,174911.18845769574,92970.60776259429,156895.88073418886,138750.80903596414,134368.07307595652,75450.24268774195,120081.40087547287,116475.77532824052,157882.63689243209,134131.16759396796,,95569.22396964398,147171.69757988738,110266.18683695594,127713.21111328878,103804.39329735714,,118984.51020227648,,100344.5740842957,103359.77590810067,114218.98558139266,138672.6142025166,125840.5994552595,142519.61300650288,93186.74275454595,155227.99875622094,92578.30847061246,128289.53690405814,,87138.30873159466,91527.2567845481,108470.34206728572
2000-12-01,114669.25999191833,211835.51674095707,115207.90265454672,104842.60929942357,132875.8888711558,166651.67262708847,175253.19018723664,143144.34313856068,197172.43196874476,222349.51549050157,184490.6560926621,139275.43312219545,186160.651803324,126313.35775285253,177847.0709199533,204789.6147563612,116575.7544400845,160917.3281125643,176191.02228318594,93635.17069585262,157351.30123752795,140387.72849699933,135342.51320275082,76038.05142879926,120534.0731648527,117571.4852799722,158763.39761893437,134724.6775750497,,96066.70935363446,149031.86447455993,110730.9171329122,127962.25714912922,104263.38962806646,,119323.81433375226,,101008.53533132211,104082.88494239682,114864.06372519833,139018.64453372348,126764.80229489521,143625.17355491445,93697.32413150831,156004.15581275488,93019.73002584884,128899.41447609203,,87542.57054418283,91972.50966388518,108366.8739322088
2001-01-01,115343.62031174735,213832.4095432055,115432.6904507794,105327.08996206285,133807.0013015628,167891.26339654913,176057.7822421,143771.1450763966,199166.0216584778,225071.04469900872,185343.82245979292,139921.20306583517,187524.11397246853,127139.64791911565,178342.48145418506,205444.99127983698,117060.27381453519,161648.06582861408,177312.39129885918,94240.05580652454,157864.73711942448,141863.64595120965,136288.43471372031,76753.25293461495,121061.33604363691,118920.00766153442,159490.3206912262,135337.62265305492,,96404.25437084801,150725.27144974816,111162.11803534067,128365.981949787,104776.10707754605,,119841.92301460488,,101487.44837934019,104622.35674146314,115579.36700407299,141465.10508985352,127585.46667593585,144710.31211630878,94301.01391832187,156864.64135809187,93568.81018516065,129457.98222988127,,87992.48313320166,92490.45570442844,108429.02250658271
2001-02-01,116013.59800963222,215806.92618921923,115398.72478711908,105770.06324643572,134632.89896912346,168922.93147099862,176881.8628685008,144396.36587550244,201044.14510152806,227556.10559356105,186187.620805008,140568.25944934067,189028.25723457328,127777.76624911225,178627.44594542682,206093.04389376697,117444.06900967553,162423.47947383442,178243.5717807509,94603.74550879905,158299.6914415641,143184.41060091896,137102.45900118933,77200.85151179828,121533.09196403348,120168.02675508651,160151.0935769188,135794.69909460636,,96708.79507628013,152537.8162618568,111505.17267557544,128775.25424015518,105210.3265259572,,120189.51438228159,,101651.41856947196,104995.5136191682,116203.31944024349,145336.70417613361,128503.26073961734,145796.6657456213,94689.68411251267,157567.35912910302,94202.46812672944,130003.80066741498,,88429.10602853385,92962.98375560979,108652.45070200095
2001-03-01,116713.97024236846,218029.40752045624,115173.79221254226,106215.60339290877,135483.86656952914,169853.4278825382,178045.172707868,145024.558304222,202948.17277522254,230005.5092733956,186981.45852218743,141269.70405570834,190522.19766638498,128299.36622150689,178798.5979993171,206673.42441763132,117765.89227252256,163267.99686122232,179279.17417169336,94826.43534411203,158761.89394002475,144496.23268240932,137797.63802697006,77538.50711958302,122021.57949118939,121336.61319669303,160712.79216594688,136164.3668818388,,96903.10162362304,154243.79450663802,111823.74985698516,129338.63151585618,105568.15936677829,,117769.67209640604,,101650.02770389851,105408.56800660836,116804.25283385951,150279.1436137576,129464.50714445995,146954.27277889964,94981.61595937192,158332.73544371306,94869.25449373649,130549.47959981002,,88807.40309737797,93413.47485481511,109111.06242645328
2001-04-01,117541.27924504655,220792.7614601003,115042.01062352389,106693.66263306011,136373.36456874618,170824.90392891932,179816.04771471978,145663.2006097538,204801.8417268426,232536.1972509829,187757.85477453007,141984.39746713187,192100.78093740446,128756.39626253508,178976.4346222422,207366.53456186675,118021.60487328342,164112.3323458682,180475.59887608906,95012.96358793079,159165.3692713523,145916.90884755537,138438.44983157297,77696.82901817141,122356.13491984713,122257.26011573848,161468.81968389574,136437.6307597357,,97171.56070733028,156003.5146534403,112139.21080107808,129881.08624893131,105826.16153457272,,114314.80996528921,,101604.50852262758,105939.96155557426,117328.32285307738,154020.05653576463,130430.14461020078,148300.2396749689,95163.16705165799,159062.56355042852,95444.69914337953,131151.3690071742,,89162.78373326456,93817.43412591564,109523.6741130391
2001-05-01,118447.43212503177,223561.83643020908,115086.25722552266,107151.1751890767,137357.23648647315,171897.8078764037,181837.4713469968,146311.4521520436,206651.83264028537,235150.80855903417,188429.02639255932,142834.92080371888,193658.78957324525,129310.83738289135,179077.56508983372,208368.37349058187,118316.71693052926,165011.16556712575,181823.07876755294,95348.1768676823,159618.5571892811,147368.6237505094,139146.34632955768,78006.63167703552,122733.76581551932,123357.8126311217,162353.72531350303,136755.57555983114,,97478.91960083724,157967.65936813538,112481.46375191015,130411.89668989876,106081.61121942791,,110739.50634531402,,101805.52024747895,106570.6643369262,117807.11680517501,157119.97341527455,131322.00874085983,149732.09428341174,95495.70957633834,159819.4221708156,95982.12845894811,131773.17492692414,,89474.21634214593,94239.56259475522,110127.529278383
2001-06-01,119393.30963925713,226077.31195967583,115220.42276694353,107616.98366741074,138341.3165936796,173082.03576934928,183787.6002807458,146965.31709231815,208304.84191204645,237896.1472731106,189115.91655027596,143731.24646310476,195394.44430650017,129876.86306281896,179246.8439622631,209506.6965021745,118604.83454795739,165882.79640056664,183181.2845374147,95703.95419942058,160091.1115796681,148821.68337005097,139853.19162691012,78320.7358890059,123134.86599177403,124572.21673812399,163418.9262555848,137075.37773025237,,97870.96747466507,160069.72799443448,112818.40307804343,130806.73717149947,106344.63687484177,,109839.55568852957,,102162.23782646582,107260.28546504932,118245.26009004412,159723.04586678674,132163.51673582362,151208.95484662647,95873.50567755238,160562.5800432966,96502.64078119851,132429.0709712368,,89783.19850125544,94689.17563869688,110438.62218738261
